question,answer,keywords
"What are the common symptoms of eye infection?","Common symptoms include redness, itching, tearing, blurred vision, and a sensation of something in the eye. Visit an ophthalmologist if symptoms persist.","eye infection, redness, vision"
"How should I handle a nose bleed at home?","Sit upright, pinch the soft part of your nose, and apply a cold compress. Avoid blowing your nose and see an ENT specialist if bleeding continues.","nose bleed, ENT, bleeding"
"What should I do for severe tooth pain?","Brush gently, avoid hot or cold foods, and see a dentist to check for cavities, infection, or a cracked tooth. Pain medication can help until treatment.","tooth pain, dentist, toothache"
"How can I reduce skin rashes quickly?","Use a mild cleanser, avoid irritants, and apply a gentle moisturizer. If the rash spreads or itches severely, consult a dermatologist.","skin rash, dermatologist, allergy"
"What are the warning signs of heart problems?","Warning signs include chest pain, shortness of breath, dizziness, and swelling in legs. Get immediate help if symptoms worsen.","heart problems, cardiology, chest pain"
"When should I see a bone specialist?","See an orthopedic doctor if you have persistent joint pain, swelling, deformity, or a fracture that does not heal with basic care.","bone pain, orthopedics, swelling"
"What does blurry vision indicate?","Blurry vision may indicate eye strain, refractive errors, cataract, or infection. An eye specialist can diagnose the exact cause.","blurry vision, optic, vision"
"How do I know if my nose congestion is serious?","If congestion lasts more than 10 days, is accompanied by fever, or has thick green discharge, see an ENT specialist.","nasal congestion, sinusitis, ENT"
"What are common causes of tooth sensitivity?","Tooth sensitivity often occurs from enamel erosion, cavity, gum recession, or recent dental work. A dentist can identify the cause.","sensitivity, dentistry, tooth"
"How can I support a patient after heart surgery?","Ensure rest, follow medication schedules, encourage light movement, and keep follow-up appointments with the cardiologist.","post surgery, cardiac care, recovery"
"Which doctor should I visit for swollen joints?","A bone specialist or orthopedist can evaluate swollen joints and suggest treatments such as medication or physiotherapy.","joint pain, orthopedics, swelling"
"How do I prepare for a skin allergy test?","Avoid new skincare products before the test and share all medications with the dermatologist to get accurate allergy results.","allergy test, dermatologist, skin"
"What does a persistent headache around the eyes mean?","It may be due to eye strain, sinusitis, or migraine. See an ophthalmologist or ENT specialist if the pain persists.","eye headache, vision, headache"
"Can fever cause nose congestion and pressure?","Yes, fever and infection often cause nasal congestion and pressure. Seek medical advice if symptoms last more than a few days.","fever, nasal pressure, ENT"
"How do I choose a good dentist for tooth decay?","Look for a licensed dentist with positive patient feedback, clear treatment plans, and affordable consultation fees.","tooth decay, dentist, feedback"
"What are common symptoms of diabetes?","Common symptoms include excess thirst, frequent urination, tiredness, blurred vision, and slow wound healing. Blood sugar testing is needed for confirmation.","diabetes, sugar, frequent urination"
